id,pm_template_id,step_number,task_description,expected_input_type,standard_text_expected,standard_min_value,standard_max_value,is_critical,remarks
PMTD-LAK-VS-3MTH-02,PMT-LAK-SYS002-EQ005-3MTH,2,วัดกระแสมอเตอร์,Number,,,,true,
PMTD-LAK-VS-3MTH-03,PMT-LAK-SYS002-EQ005-3MTH,3,ตรวจสอบจุดร้อน (PdM),Text,ไม่มีจุดร้อนผิดปกติ,,,true,
PMTD-LAK-VS-EGG-3MTH-01,PMT-LAK-SYS006-EQ019-3MTH,1,วัดกระแสมอเตอร์,Number,,,,true,
PMTD-LAK-VS-EGG-3MTH-02,PMT-LAK-SYS006-EQ019-3MTH,2,ตรวจสอบจุดร้อน (PdM),Text,ไม่มีจุดร้อนผิดปกติ,,,true,
PMTD-LAK-VS-EGG-3MTH-03,PMT-LAK-SYS006-EQ019-3MTH,3,ตรวจสอบระบบควบคุม,Text,ปกติ,,,true,
PMTD-LAK-VS-EGG-MTH-01,PMT-LAK-SYS006-EQ019-MTH,1,ตรวจสอบความสะอาด,Text,สะอาด,,,false,
PMTD-LAK-VS-EGG-MTH-02,PMT-LAK-SYS006-EQ019-MTH,2,ตรวจสอบการทำงานของพัดลม,Text,ปกติ,,,true,
PMTD-LAK-VS-EGG-MTH-03,PMT-LAK-SYS006-EQ019-MTH,3,ตรวจสอบการทำงานของปั๊มน้ำ,Text,ปกติ,,,true,
PMTD-LAK-VS-MTH-01,PMT-LAK-SYS002-EQ005-MTH,1,ตรวจสอบความสะอาด,Text,สะอาด,,,false,
PMTD-LAK-VS-MTH-02,PMT-LAK-SYS002-EQ005-MTH,2,ตรวจสอบสภาพโดยรวม,Text,ปกติ,,,false,
PMTD-LAK-VS-MTH-03,PMT-LAK-SYS002-EQ005-MTH,3,ตรวจสอบการทำงาน (เสียง/สั่น),Text,ปกติ,,,true,
PMTD-LAK-VS-MTH-04,PMT-LAK-SYS002-EQ005-MTH,4,ตรวจสอบความตึงสายพาน,Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-01-01,PMT-LAK-TKB-PRE-CHICKEN,1,"Climate Controller: ตรวจสอบการแสดงผลค่าอุณหภูมิ, ความชื้น, และเทอร์โมสตัส บนหน้าจอว่าถูกต้อง",Text,พร้อมใช้งาน,,,true,
PMTD-PRE-CHICKEN-01-02,PMT-LAK-TKB-PRE-CHICKEN,2,Climate Controller: ตรวจสอบการทำงานของระบบเซ็นเซอร์ (Sensor) ทั้งหมด,Text,พร้อมใช้งาน,,,true,"เช่น เซ็นเซอร์อุณหภูมิ, เซ็นเซอร์ความชื้น"
PMTD-PRE-CHICKEN-01-03,PMT-LAK-TKB-PRE-CHICKEN,3,Climate Controller: ทำความสะอาดเซ็นเซอร์และบริเวณโดยรอบ เพื่อให้การวัดค่าแม่นยำ,Text,สะอาด,,,false,
PMTD-PRE-CHICKEN-01-04,PMT-LAK-TKB-PRE-CHICKEN,4,Ventilation Fans: ตรวจสอบการทำงานของพัดลมทุกตัว (เปิด-ปิดได้ปกติ),Text,พร้อมใช้งาน,,,true,
PMTD-PRE-CHICKEN-01-05,PMT-LAK-TKB-PRE-CHICKEN,5,Ventilation Fans: ตรวจสอบโครงสร้างและสภาพโดยรวมของพัดลม (ไม่มีชิ้นส่วนเสียหาย/หลวม),Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-01-06,PMT-LAK-TKB-PRE-CHICKEN,6,Ventilation Fans: ฟังเสียงการทำงานของพัดลมว่าปกติหรือไม่ (ไม่มีเสียงดังผิดปกติ),Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-01-07,PMT-LAK-TKB-PRE-CHICKEN,7,Ventilation Fans: ตรวจสอบการสั่นสะเทือนของพัดลมผิดปกติหรือไม่,Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-01-08,PMT-LAK-TKB-PRE-CHICKEN,8,"Ventilation Fans: ตรวจสอบสภาพบานเกล็ดพัดลม (เปิด-ปิดปกติ, ไม่ติดขัด)",Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-01-09,PMT-LAK-TKB-PRE-CHICKEN,9,Ventilation Fans: ตรวจสอบความตึงของสายพาน (ถ้าเป็นพัดลมแบบสายพาน),Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-01-10,PMT-LAK-TKB-PRE-CHICKEN,10,"พัดลมกวนอากาศไก่รุ่น: ตรวจเช็คการทำงาน (การทำงาน, เสียง, การสั่นสะเทือน)",Text,ปกติ,,,false,ระบบนี้ไม่มีสายพาน
PMTD-PRE-CHICKEN-01-11,PMT-LAK-TKB-PRE-CHICKEN,11,Ventilation Fans: เช็คการทำงานของระบบ By-pass ว่าทำงานปกติ,Text,พร้อมใช้งาน,,,true,
PMTD-PRE-CHICKEN-01-12,PMT-LAK-TKB-PRE-CHICKEN,12,"Cooling Pad: ตรวจสอบการทำงานของมอเตอร์ปั๊มน้ำ (เสียงปกติ, สั่นสะเทือนปกติ)",Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-01-13,PMT-LAK-TKB-PRE-CHICKEN,13,Cooling Pad: ตรวจสอบกรองมอเตอร์ปั๊มน้ำว่าอุดตันหรือไม่,Text,ไม่อุดตัน,,,false,
PMTD-PRE-CHICKEN-01-14,PMT-LAK-TKB-PRE-CHICKEN,14,Cooling Pad: ตรวจสอบการไหลของน้ำทั่วแผ่น Cooling Pad ว่าสม่ำเสมอหรือไม่,Text,สม่ำเสมอ,,,true,
PMTD-PRE-CHICKEN-01-15,PMT-LAK-TKB-PRE-CHICKEN,15,Cooling Pad: ตรวจสอบมีจุดรั่วไหลของน้ำจากระบบ Cooling Pad หรือไม่,Text,ไม่มี,,,true,
PMTD-PRE-CHICKEN-01-16,PMT-LAK-TKB-PRE-CHICKEN,16,Cooling Pad: ตรวจสอบระดับลูกลอยในอ่างน้ำว่าเหมาะสมและสมบูรณ์หรือไม่,Text,เหมาะสม/สมบูรณ์,,,true,
PMTD-PRE-CHICKEN-01-17,PMT-LAK-TKB-PRE-CHICKEN,17,"Cooling Pad: ตรวจสอบความสะอาดของแผ่น Cooling Pad (ไม่มีตะไคร่น้ำ, ไม่มีสิ่งอุดตัน)",Text,สะอาด,,,false,
PMTD-PRE-CHICKEN-01-18,PMT-LAK-TKB-PRE-CHICKEN,18,ระบบทำความร้อน (Heater): ทดสอบการทำงาน (ติด/ดับตามอุณหภูมิที่ตั้งค่า),Text,พร้อมใช้งาน,,,true,
PMTD-PRE-CHICKEN-01-19,PMT-LAK-TKB-PRE-CHICKEN,19,ระบบทำความร้อน (Heater): เช็คจุดรั่วซึมของท่อแก๊ส/เชื้อเพลิง,Text,ไม่มี,,,true,
PMTD-PRE-CHICKEN-01-20,PMT-LAK-TKB-PRE-CHICKEN,20,ระบบทำความร้อน (Heater): เช็ควาล์วและเรกูเรเตอร์ของระบบแก๊ส/เชื้อเพลิง,Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-01-21,PMT-LAK-TKB-PRE-CHICKEN,21,"ม่านอากาศ 3 ด้าน: ตรวจสอบการทำงาน (เปิด-ปิดสุดปกติ, ไม่มีสิ่งกีดขวาง)",Text,ปกติ,,,true,"ม่านหน้า, ซ้าย, ขวา"
PMTD-PRE-CHICKEN-01-22,PMT-LAK-TKB-PRE-CHICKEN,22,"ม่านอากาศ 3 ด้าน: ตรวจสอบสภาพสายสลิงและรอก (ไม่เป็นสนิม, ไม่ชำรุด, ไม่หย่อนยาน)",Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-01-23,PMT-LAK-TKB-PRE-CHICKEN,23,"ม่านอากาศ 3 ด้าน: ตรวจสอบสภาพลูกปืนและมอเตอร์เกียร์ (ไม่มีเสียงดังผิดปกติ, ไม่มีอาการสั่น)",Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-01-24,PMT-LAK-TKB-PRE-CHICKEN,24,"ม่านอากาศ 3 ด้าน: ตรวจสอบการทำงานของมือหมุนปรับระดับม่านอากาศ (ทำงานปกติ, ไม่ติดขัด)",Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-02-01,PMT-LAK-TKB-PRE-CHICKEN,25,"ระบบให้อาหารอัตโนมัติ: สภาพถังไซโล (รอยแตกร้าว, การรั่วซึม, ความสะอาดภายนอก)",Text,ปกติ / สะอาด,,,true,
PMTD-PRE-CHICKEN-02-02,PMT-LAK-TKB-PRE-CHICKEN,26,"ระบบให้อาหารอัตโนมัติ: ท่อลำเลียงอาหาร (รอยแตกร้าว, รอยรั่ว, การอุดตัน, เสียงและการสั่น)",Text,ปกติ,,,true,Auger/Chain
PMTD-PRE-CHICKEN-02-03,PMT-LAK-TKB-PRE-CHICKEN,27,"ระบบให้อาหารอัตโนมัติ: มอเตอร์ขับเคลื่อน (การทำงาน, เสียง, การสั่น)",Text,ปกติ,,,true,Feeding Motor
PMTD-PRE-CHICKEN-02-04,PMT-LAK-TKB-PRE-CHICKEN,28,"ระบบให้อาหารอัตโนมัติ: ระบบโซ่อาหาร/เครนเดินอาหาร (การทำงาน, เสียง, การสั่น, โซ่ไม่ติดขัด, ไม่เป็นสนิม)",Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-02-05,PMT-LAK-TKB-PRE-CHICKEN,29,ระบบให้อาหารอัตโนมัติ: น้ำมันเกียร์มอเตอร์ (ระดับน้ำมันเกียร์มอเตอร์ว่าอยู่ในระดับปกติ),Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-02-06,PMT-LAK-TKB-PRE-CHICKEN,30,"ระบบให้อาหารอัตโนมัติ: อัดจารบีจุดต่างๆ (ลูกปืน, รอก, จุดหมุน)",Text,เสร็จสมบูรณ์,,,false,
PMTD-PRE-CHICKEN-02-07,PMT-LAK-TKB-PRE-CHICKEN,31,ระบบให้อาหารอัตโนมัติ: สายพานมอเตอร์ดึงอาหาร (ความตึงของสายพาน),Text,ปกติ,,,false,ทั้งตัวที่ดึงขึ้นไซโลและตัวที่ดึงจาก Auger เข้าโรงเรือน
PMTD-PRE-CHICKEN-02-08,PMT-LAK-TKB-PRE-CHICKEN,32,ระบบให้อาหารอัตโนมัติ: Limit Switch/Sensor (การทำงาน),Text,ปกติ,,,true,จุดต่างๆ
PMTD-PRE-CHICKEN-02-09,PMT-LAK-TKB-PRE-CHICKEN,33,ระบบให้น้ำอัตโนมัติ: ตรวจสอบการทำงานของระบบกรองน้ำและมิเตอร์น้ำ,Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-02-10,PMT-LAK-TKB-PRE-CHICKEN,34,ระบบให้น้ำอัตโนมัติ: ตรวจสอบจุดรั่วซึมต่างๆ ในระบบท่อน้ำ,Text,ไม่มี,,,true,
PMTD-PRE-CHICKEN-02-11,PMT-LAK-TKB-PRE-CHICKEN,35,ระบบให้น้ำอัตโนมัติ: ตรวจสอบการทำงานของ Sensor น้ำไก่กิน,Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-03-01,PMT-LAK-TKB-PRE-CHICKEN,36,"ตู้ SMDB (ตู้เมนโรงเรือน): ตรวจสอบสภาพทั่วไป (ความสะอาด, เสียง/กลิ่นผิดปกติ, คราบเขม่า)",Text,ปกติ / สะอาด,,,true,
PMTD-PRE-CHICKEN-03-02,PMT-LAK-TKB-PRE-CHICKEN,37,"ตู้ SMDB (ตู้เมนโรงเรือน): ตรวจสอบจุดต่อสายไฟ (สภาพสายเสื่อม, ร่องรอยหนูกัด, การเกิดออกไซด์)",Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-03-03,PMT-LAK-TKB-PRE-CHICKEN,38,"ตู้ SMDB (ตู้เมนโรงเรือน): ตรวจวัดค่า แรงดันไฟฟ้า, กระแสไฟฟ้า, อุณหภูมิ (PdM) ภายในตู้",Text,ปกติ,,,true,ส่องด้วย Thermal Camera
PMTD-PRE-CHICKEN-03-04,PMT-LAK-TKB-PRE-CHICKEN,39,"ตู้ควบคุมพัดลม (Ventilation): ตรวจสอบสภาพทั่วไป (ความสะอาด, เสียง/กลิ่นผิดปกติ, คราบเขม่า)",Text,ปกติ / สะอาด,,,true,
PMTD-PRE-CHICKEN-03-05,PMT-LAK-TKB-PRE-CHICKEN,40,"ตู้ควบคุมพัดลม (Ventilation): ตรวจสอบจุดต่อสายไฟ (สภาพสายเสื่อม, ร่องรอยหนูกัด, การเกิดออกไซด์)",Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-03-06,PMT-LAK-TKB-PRE-CHICKEN,41,"ตู้ควบคุมพัดลม (Ventilation): ตรวจวัดค่า แรงดันไฟฟ้า, กระแสไฟฟ้ามอเตอร์แต่ละตัว, อุณหภูมิ (PdM) ภายในตู้และที่มอเตอร์",Text,ปกติ,,,true,ส่องด้วย Thermal Camera
PMTD-PRE-CHICKEN-03-07,PMT-LAK-TKB-PRE-CHICKEN,42,"ตู้ควบคุม Production: ตรวจสอบสภาพทั่วไป (ความสะอาด, เสียง/กลิ่นผิดปกติ, คราบเขม่า)",Text,ปกติ / สะอาด,,,true,"ครอบคลุมระบบอาหาร, แสงสว่าง, เซ็นเซอร์สภาพอากาศ Viper, Cooling Pad, สายพานลำเลียงลิฟท์ไข่, การแจ้งเตือนต่างๆ"
PMTD-PRE-CHICKEN-03-08,PMT-LAK-TKB-PRE-CHICKEN,43,"ตู้ควบคุม Production: ตรวจสอบจุดต่อสายไฟ (สภาพสายเสื่อม, ร่องรอยหนูกัด, การเกิดออกไซด์)",Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-03-09,PMT-LAK-TKB-PRE-CHICKEN,44,"ตู้ควบคุม Production: ตรวจวัดค่า แรงดันไฟฟ้า, กระแสไฟฟ้ามอเตอร์ของระบบอาหาร/แสงสว่าง/Cooling Pad/ลิฟท์ไข่/อุปกรณ์อื่นๆ ที่เกี่ยวข้องกับการผลิต, อุณหภูมิ (PdM)",Text,ปกติ,,,true,ส่องด้วย Thermal Camera
PMTD-PRE-CHICKEN-03-10,PMT-LAK-TKB-PRE-CHICKEN,45,"ตู้ควบคุม Production: ตรวจสอบระบบไฟฟ้าสำรอง (UPS) (การทำงาน, แบตเตอรี่, สถานะไฟ)",Text,พร้อมใช้งาน,,,true,"ทำงานปกติ, พร้อมใช้งานเมื่อไฟดับ"
PMTD-PRE-CHICKEN-03-11,PMT-LAK-TKB-PRE-CHICKEN,46,"ตู้ควบคุมสายพานมูลไก่: ตรวจสอบสภาพทั่วไป (ความสะอาด, เสียง/กลิ่นผิดปกติ, คราบเขม่า)",Text,ปกติ / สะอาด,,,false,
PMTD-PRE-CHICKEN-03-12,PMT-LAK-TKB-PRE-CHICKEN,47,"ตู้ควบคุมสายพานมูลไก่: ตรวจสอบจุดต่อสายไฟ (สภาพสายเสื่อม, ร่องรอยหนูกัด, การเกิดออกไซด์)",Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-03-13,PMT-LAK-TKB-PRE-CHICKEN,48,"ตู้ควบคุมสายพานมูลไก่: ตรวจวัดค่า แรงดันไฟฟ้า, กระแสไฟฟ้ามอเตอร์สายพานมูลไก่, อุณหภูมิ (PdM)",Text,ปกติ,,,false,ส่องด้วย Thermal Camera
PMTD-PRE-CHICKEN-03-14,PMT-LAK-TKB-PRE-CHICKEN,49,"หลอดไฟ/ระบบแสงสว่าง: ตรวจสอบหลอดไฟทุกดวง (ติดปกติ), ระบบ Timer/Dimmer (ทำงานตามที่ตั้งค่าไว้)",Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-03-15,PMT-LAK-TKB-PRE-CHICKEN,50,"หลอดไฟ/ระบบแสงสว่าง: ตรวจสอบขั้วต่อและสายไฟของหลอดไฟทุกดวง (สภาพ, เทปดำเสื่อมสภาพ, ร่องรอยชำรุด)",Text,ปกติ,,,true,เพื่อป้องกันความเสี่ยง
PMTD-PRE-CHICKEN-04-01,PMT-LAK-TKB-PRE-CHICKEN,51,"ระบบสายพานลำเลียงไข่ (ภาพรวม): ตรวจสอบสภาพทั่วไป (ไม่มีรอยแตก, ไม่ขาด), ความสะอาดของราง/สายพาน, เสียงการทำงาน",Text,ปกติ / สะอาด,,,true,
PMTD-PRE-CHICKEN-04-02,PMT-LAK-TKB-PRE-CHICKEN,52,"มอเตอร์เกียร์ (ทุกจุด): ตรวจสอบการทำงาน (เปิด-ปิด, เสียง, การสั่น), ตรวจเช็คระดับน้ำมันเกียร์",Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-04-03,PMT-LAK-TKB-PRE-CHICKEN,53,"ลูกปืน (ทุกจุด): ตรวจสอบเสียงผิดปกติ, การสั่นสะเทือน, และอัดจารบีตามจุดที่กำหนด",Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-04-04,PMT-LAK-TKB-PRE-CHICKEN,54,"โซ่ลำเลียง (Chain): ตรวจสอบความตึงของโซ่, สภาพข้อโซ่ (ไม่มีสนิม, ไม่บิดงอ), และหยอดน้ำมันโซ่",Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-04-05,PMT-LAK-TKB-PRE-CHICKEN,55,"ลิฟท์ไข่ในโรงเรือน (Egg Lift): ตรวจสอบการทำงาน (ขึ้น-ลงปกติ, ไม่มีเสียงดังผิดปกติ), สภาพสายสลิง/โซ่, ระบบความปลอดภัย, สภาพแมคคานิค, แผงมือจับไข่",Text,ปกติ / พร้อมใช้งาน,,,true,"ความตึงหย่อน, เบี้ยว, บุบ, งอ"
PMTD-PRE-CHICKEN-04-06,PMT-LAK-TKB-PRE-CHICKEN,56,"คอนเวเยอร์รอง (Secondary Conveyor): ตรวจสอบการทำงาน (การลำเลียงไข่ราบรื่น), สภาพสายพาน/ราง (ความตึงหย่อน), จุดเชื่อมต่อ",Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-04-07,PMT-LAK-TKB-PRE-CHICKEN,57,"กระปุกหยอดน้ำมันอัตโนมัติ: ตรวจสอบระดับน้ำมันในกระปุก, การทำงานของระบบหยอดน้ำมัน (หยดปกติ, ไม่มีการอุดตัน), ทำความสะอาดหัวจ่าย",Text,ปกติ / พร้อมใช้งาน,,,false,
PMTD-PRE-CHICKEN-05-01,PMT-LAK-TKB-PRE-CHICKEN,58,"Manure Removal Belt: ตรวจสอบสภาพทั่วไปของสายพาน (รอยแตก, การฉีกขาด), ความตึงของสายพาน, และความสะอาด",Text,ปกติ / สะอาด,,,true,
PMTD-PRE-CHICKEN-05-02,PMT-LAK-TKB-PRE-CHICKEN,59,"Manure Removal Belt: ตรวจสอบการทำงานของ Scrapers ทั้งหมด (ทำความสะอาดสายพานได้ดี, ไม่มีสิ่งอุดตัน)",Text,ปกติ,,,true,ตัวกวาดมูล
PMTD-PRE-CHICKEN-05-03,PMT-LAK-TKB-PRE-CHICKEN,60,"มอเตอร์เกียร์ (ทุกจุด): ตรวจสอบการทำงาน (เปิด-ปิด, เสียง, การสั่น), ตรวจเช็คระดับน้ำมันเกียร์",Text,ปกติ,,,true,
PMTD-PRE-CHICKEN-05-04,PMT-LAK-TKB-PRE-CHICKEN,61,"ลูกปืน (ทุกจุด): ตรวจสอบเสียงผิดปกติ, การสั่นสะเทือน, และอัดจารบีตามจุดที่กำหนด",Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-05-05,PMT-LAK-TKB-PRE-CHICKEN,62,"โซ่/Roller/เฟือง (ทุกจุด): ตรวจสอบความตึงของโซ่, สภาพข้อโซ่/Roller/เฟือง (ไม่มีสนิม, ไม่บิดงอ, ไม่สึกหรอ), และหยอดน้ำมัน/อัดจารบี",Text,ปกติ,,,false,
PMTD-PRE-CHICKEN-06-01,PMT-LAK-TKB-PRE-CHICKEN,63,ทดสอบการทำงานของระบบแสงสว่างทั้งโรงเรือน (รวมถึง Timer/Dimmer และการควบคุมอัตโนมัติ),Text,ทำงานปกติ / ครอบคลุมพื้นที่,,,true,
PMTD-PRE-CHICKEN-06-02,PMT-LAK-TKB-PRE-CHICKEN,64,ทดสอบการทำงานของระบบควบคุมสภาพอากาศทั้งหมด (เปิด-ปิดพัดลม/Cooling Pad/Heater),Text,ทำงานสัมพันธ์กัน / ตอบสนองตามตั้งค่า,,,true,
PMTD-PRE-CHICKEN-06-03,PMT-LAK-TKB-PRE-CHICKEN,65,ทดสอบการทำงานของระบบให้อาหารอัตโนมัติทั้งหมด (เริ่มตั้งแต่ไซโลจนถึงรางอาหาร),Text,ทำงานปกติ / ไม่มีสิ่งอุดตัน,,,true,
PMTD-PRE-CHICKEN-06-04,PMT-LAK-TKB-PRE-CHICKEN,66,ทดสอบการทำงานของระบบให้น้ำอัตโนมัติทั้งหมด (ตั้งแต่ระบบกรองน้ำจนถึงหัวนมให้น้ำ),Text,ทำงานปกติ / ไม่มีจุดรั่วซึม,,,true,
PMTD-PRE-CHICKEN-06-05,PMT-LAK-TKB-PRE-CHICKEN,67,"ทดสอบการทำงานของระบบม่านอากาศทั้งหมด (เปิด-ปิด, การเคลื่อนที่)",Text,ทำงานสมบูรณ์,,,true,
PMTD-PRE-CHICKEN-06-06,PMT-LAK-TKB-PRE-CHICKEN,68,ทดสอบการทำงานของระบบสายพานลำเลียงไข่ทั้งหมด (ตั้งแต่จุดเริ่มต้นถึงคอนเวเยอร์รอง),Text,ทำงานราบรื่น / ไม่มีสิ่งติดขัด,,,true,
PMTD-PRE-CHICKEN-06-07,PMT-LAK-TKB-PRE-CHICKEN,69,"ทดสอบการทำงานของระบบจัดการมูลสัตว์ทั้งหมด (สายพานมูลไก่, สายพานลำเลียงมูลขวาง)",Text,กำจัดมูลได้อย่างมีประสิทธิภาพ,,,true,
PMTD-PRE-CHICKEN-06-08,PMT-LAK-TKB-PRE-CHICKEN,70,ตรวจสอบและทดสอบการทำงานของระบบอื่นๆ ที่จำเป็นต้องใช้งานก่อนรับไก่,Text,ทำงานปกติ / พร้อมใช้งาน,,,true,หากมี
PMTD-SA-GEN-6MTH-01,PMT-SA-SYSNULL-EQ001-6MTH,1,วัดค่าความต้านทานดิน,Number,,0,5,true,ค่าความต้านทานดิน (Ohm)
PMTD-SA-GEN-MTH-01,PMT-SA-SYSNULL-EQ001-MTH,1,เวลาในการทดสอบ,Number,,,,true,ระบุเวลา (นาที)
PMTD-SA-GEN-MTH-02,PMT-SA-SYSNULL-EQ001-MTH,2,บันทึกชั่วโมงการทำงานสะสม,Number,,,,true,จำนวนชั่วโมง
PMTD-SA-GEN-MTH-03,PMT-SA-SYSNULL-EQ001-MTH,3,บันทึกจำนวนครั้งที่สตาร์ท,Number,,,,false,จำนวนครั้ง
PMTD-SA-GEN-MTH-04,PMT-SA-SYSNULL-EQ001-MTH,4,เช็คแรงดันแบตเตอรี่,Number,,12,13.7,true,V
PMTD-SA-GEN-MTH-05,PMT-SA-SYSNULL-EQ001-MTH,5,ความเร็วรอบ (RPM),Number,,,,true,ระบุ RPM
PMTD-SA-GEN-MTH-06,PMT-SA-SYSNULL-EQ001-MTH,6,อุณหภูมิน้ำมันเครื่อง,Number,,,,true,ระบุ °C
PMTD-SA-GEN-MTH-07,PMT-SA-SYSNULL-EQ001-MTH,7,แรงดันน้ำมันเครื่อง,Number,,,,true,ระบุ Bar/PSI
PMTD-SA-GEN-MTH-08,PMT-SA-SYSNULL-EQ001-MTH,8,อุณหภูมิน้ำระบายความร้อน,Number,,,,true,ระบุ °C
PMTD-SA-GEN-MTH-09,PMT-SA-SYSNULL-EQ001-MTH,9,บันทึกแรงดัน L-N (Volt),Number,,,,true,ระบุ Volt
PMTD-SA-GEN-MTH-10,PMT-SA-SYSNULL-EQ001-MTH,10,บันทึกแรงดัน L-L (Volt),Number,,,,true,ระบุ Volt
PMTD-SA-GEN-MTH-11,PMT-SA-SYSNULL-EQ001-MTH,11,ตรวจจุดร้อนสายไฟ (PdM),Text,ไม่มีจุดร้อนผิดปกติ,,,true,
PMTD-SA-GEN-MTH-12,PMT-SA-SYSNULL-EQ001-MTH,12,วัดแรงลมหลังหม้อน้ำ (PdM),Number,,,,false,ค่าแรงลม (CFM)
PMTD-SA-GEN-WKLY-01,PMT-SA-SYSNULL-EQ001-WKLY,1,ตรวจความสะอาด,Text,สะอาด,,,false,
PMTD-SA-GEN-WKLY-02,PMT-SA-SYSNULL-EQ001-WKLY,2,ตรวจเช็คระดับน้ำมันเครื่อง,Text,ปกติ,,,true,
PMTD-SA-GEN-WKLY-03,PMT-SA-SYSNULL-EQ001-WKLY,3,ตรวจเช็คระดับน้ำหล่อเย็น,Text,ปกติ,,,true,
PMTD-SA-GEN-WKLY-04,PMT-SA-SYSNULL-EQ001-WKLY,4,ตรวจเช็คระดับน้ำมันเชื้อเพลิง,Text,ปกติ,,,true,
PMTD-SA-GEN-WKLY-05,PMT-SA-SYSNULL-EQ001-WKLY,5,ตรวจเช็คระดับน้ำกลั่นแบตเตอรี่ (ถ้ามี),Text,ปกติ,,,false,
PMTD-SA-GEN-WKLY-06,PMT-SA-SYSNULL-EQ001-WKLY,6,ตรวจสอบการรั่วซึม,Text,ไม่มี,,,true,"น้ำมัน, น้ำ, เชื้อเพลิง"
PMTD-SA-GEN-WKLY-07,PMT-SA-SYSNULL-EQ001-WKLY,7,ตรวจสอบสภาพและความตึงสายพาน,Text,ปกติ,,,false,
PMTD-SA-GEN-WKLY-08,PMT-SA-SYSNULL-EQ001-WKLY,8,ตรวจสอบขั้วแบตเตอรี่,Text,แน่นหนา / สะอาด,,,false,"แน่นหนา, ไม่มีคราบขี้เกลือ"
PMTD-SA-GEN-WKLY-09,PMT-SA-SYSNULL-EQ001-WKLY,9,ทดสอบเดินเครื่อง (No Load) 10 นาที,Text,ปกติ,,,true,
PMTD-SA-GEN-WKLY-10,PMT-SA-SYSNULL-EQ001-WKLY,10,ตรวจสอบเสียงการทำงาน,Text,ปกติ,,,false,
PMTD-SA-GEN-WKLY-11,PMT-SA-SYSNULL-EQ001-WKLY,11,ตรวจสอบการสั่นสะเทือน,Text,ปกติ,,,false,
PMTD-SA-GEN-WKLY-12,PMT-SA-SYSNULL-EQ001-WKLY,12,ตรวจสอบแรงดันแบตเตอรี่,Number,,12,13.7,true,ค่าแรงดันแบตเตอรี่ (V)
PMTD-SA-GEN-YR-01,PMT-SA-SYSNULL-EQ001-YR,1,"บำรุงรักษาใหญ่ (เปลี่ยนถ่ายน้ำมัน, ไส้กรอง)",Text,เสร็จสมบูรณ์,,,true,โดยผู้เชี่ยวชาญภายนอก
PMTD-SM-AC-SM-3MTH-01,PMT-SM-SYS029-EQ020-3MTH,1,ตรวจสอบระดับน้ำมัน,Text,ปกติ,,,true,
PMTD-SM-AC-SM-3MTH-02,PMT-SM-SYS029-EQ020-3MTH,2,ตรวจสอบไส้กรอง,Text,ปกติ / สะอาด,,,false,
PMTD-SM-AC-SM-3MTH-03,PMT-SM-SYS029-EQ020-3MTH,3,ตรวจสอบสายพาน (ความตึง/สึกหรอ),Text,ปกติ,,,false,
PMTD-SM-AC-SM-3MTH-04,PMT-SM-SYS029-EQ020-3MTH,4,ตรวจสอบ Pressure Switch,Text,ปกติ,,,true,
PMTD-SM-AC-SM-3MTH-05,PMT-SM-SYS029-EQ020-3MTH,5,ตรวจสอบการรั่วซึม (โดยละเอียด),Text,ไม่มี,,,true,
PMTD-SM-AC-SM-6MTH-01,PMT-SM-SYS029-EQ020-6MTH,1,ตรวจสอบระบบไฟฟ้า,Text,ปกติ,,,true,
PMTD-SM-AC-SM-6MTH-02,PMT-SM-SYS029-EQ020-6MTH,2,วัดกระแสไฟฟ้ามอเตอร์,Number,,,,true,Ampere
PMTD-SM-AC-SM-6MTH-03,PMT-SM-SYS029-EQ020-6MTH,3,เปลี่ยนถ่ายน้ำมันเครื่อง,Text,เสร็จสมบูรณ์,,,true,
PMTD-SM-AC-SM-6MTH-04,PMT-SM-SYS029-EQ020-6MTH,4,เปลี่ยนไส้กรองอากาศ,Text,เสร็จสมบูรณ์,,,false,
